䷀,䷉,䷌,䷘,䷫,䷅,䷠,䷋
䷪,䷹,䷰,䷐,䷛,䷮,䷞,䷬
䷍,䷥,䷝,䷔,䷱,䷿,䷷,䷢
䷡,䷵,䷶,䷲,䷟,䷧,䷽,䷏
䷈,䷼,䷤,䷩,䷸,䷺,䷴,䷓
䷄,䷻,䷾,䷂,䷯,䷜,䷦,䷇
䷙,䷨,䷕,䷚,䷑,䷃,䷳,䷖
䷊,䷒,䷣,䷗,䷭,䷆,䷎,䷁
Thuần Kiền,Lý,Đồng Nhân,Vô Vọng,Cấu,Tụng,Độn,Bỉ
Quải,Thuần Đoài,Cách,Tuỳ,Đại Quá,Khốn,Hàm,Tuỵ
Đại Hữu,Khuể,Thuần Ly,Phệ Hạp,Đỉnh,Vị Tế,Lữ,Tấn
Đại Tráng,Qui Muội,Phong,Thuần Chấn,Hằng,Giải,Tiểu Quái,Dự
Tiểu Súc,Trung Phu,Gia Nhân,Ích,Thuần Tốn,Hoán,Tiệm,Quan
Nhu,Tiết,Ký Tế,Truân,Tỉnh,Thuần Khảm,Kiển,Tỉ
Đại Súc,Tổn,Bí,Di,Cổ,Mông,Thuần Cấn,Bác
Thái,Lâm,Minh Sản,Phục,Thăng,Sư,Khiêm,Thuần Khôn
